Magnitude	Depth	Distance(km)	Vs30	CDI	Instrumental_intensity
4.4	21.3	28.23870098	322.8629761	3.8	5.52435
4.4	21.3	28.40090562	320.4612427	2.8	3.5001
4.4	21.3	47.28387265	302.3315125	2.7	4.00123
4.4	21.3	20.0663053	720.3426514	3.7	3.39668
4.4	21.3	16.87487174	636.2138672	4	4.4764
4.4	21.3	14.54808446	713.4083862	3.8	3.96257
4.4	21.3	96.50894284	653.6015625	3.4	2.58276
4.4	21.3	19.9603696	440.716156	3.8	4.93548
4.4	21.3	6.860587619	429.7617493	3.4	4.08332
4.4	21.3	8.464661772	484.8410339	3.8	4.6853
4.4	21.3	30.74847166	252.520874	3.6	4.11596
4.4	21.3	27.90372354	693.6713867	3.6	4.11266
4.4	21.3	28.76045165	236.6616516	5	5.52225
4.4	21.3	2.578678183	468.7441101	3.6	4.68605
4.4	21.3	20.25539316	324.6734924	3.9	5.34455
4.4	21.3	23.46629961	367.6448364	3.9	5.2833
4.4	21.3	25.44264665	481.2230225	3.8	5.79688
4.4	21.3	22.61083624	254.3607025	4	6.12927
4.4	21.3	23.91963869	256.4062805	4	5.82103
4.4	21.3	21.88472073	361.2202454	4.4	4.80288
4.4	21.3	24.57565552	504.2155762	3.8	4.44926
4.4	21.3	19.16985805	267.1455688	4.7	6.21092
4.4	21.3	21.22695714	256.1649475	3.7	6.20292
4.4	21.3	14.06429036	382.7627563	3.9	6.03571
4.4	21.3	22.09381668	315.5418396	3.4	5.0468
4.4	21.3	28.11071248	162.9471436	2.7	5.20076
4.4	21.3	41.557282	441.3114319	3.1	3.25669
4.4	21.3	36.84943933	248.8754425	3.4	3.05261
4.4	21.3	26.75902905	318.395752	4.2	5.25064
4.4	21.3	31.21169613	349.6226501	3.4	3.90068
4.4	21.3	31.30026249	338.0710449	3.3	5.17071
4.4	21.3	23.92209468	254.8878021	3.8	5.20279
4.4	21.3	13.94763435	255.1657104	4.1	3.67512
4.4	21.3	21.82619362	467.6264954	3.9	4.45599
4.4	21.3	30.1987255	507.3464966	3.4	3.64545
4.4	21.3	14.02615084	240.5140228	3.3	4.81427
4.4	21.3	10.9356462	615.6091919	4.2	4.84943
4.4	21.3	15.4269256	559.3131714	4.1	5.43313
4.4	21.3	26.51258096	253.6894836	3.4	5.14831
4.4	21.3	7.06447456	461.7633057	4.3	4.58791
4.4	21.3	9.153530523	449.4562683	3.7	3.84484
4.4	21.3	11.67729356	486.3784485	3.4	3.64599
4.4	21.3	20.54734301	442.2163391	4.6	4.22395
4.4	21.3	48.42722817	328.2081909	3.8	4.05673
4.4	21.3	5.429580204	270.7006531	4.2	5.63904
4.4	21.3	22.80782565	406.7260437	3.8	4.79182
4.4	21.3	28.26240497	506.3123169	3.6	4.3525
4.4	21.3	11.75026909	253.8256226	3.9	4.77234
4.4	21.3	12.60620851	239.4149017	3.8	4.69387
4.4	21.3	15.10191393	443.4685669	3.4	3.32624
4.4	21.3	37.26597082	471.2778931	3.6	4.56769
4.4	21.3	17.17564748	373.1023254	3.5	4.74197
